Split,Filename_Removed,Reason
val,NZ_JAHNER010000041.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP076551.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRDD01000171.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NC_017144.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP068910.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NC_017128.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JBAMKE010000061.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JBDYGC010000033.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRDN01000159.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP095717.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRIK01000145.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OP927719.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRRT01000178.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP067277.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP015303.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RROO01000177.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177529.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP184039.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_VUJM01000025.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP139675.2.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAMYDE010000025.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRSF01000271.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRIJ01000125.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP150904.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRIP01000124.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OZ111402.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP128044.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JALPLY010000005.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JADABR010000037.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP062786.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CM019094.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRMK01000100.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP066725.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177431.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAKENU010000008.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP114306.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP052051.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP064227.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRID01000134.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_NBOQ01000049.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP140364.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP148492.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JACWMO010000031.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JACTAR010000004.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_NBOO01000067.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177547.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OZ111327.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP166165.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRSI01000275.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_AP025242.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP182524.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP048701.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_VLPO01000169.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP091053.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP168889.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAZICH010000011.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CM017082.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_PV686668.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP139668.2.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAAEXJ010000022.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP152226.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_FR989818.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP094423.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP140765.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP064618.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP033638.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP107366.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
