Split,Filename_Removed,Reason
val,NZ_RRMU01000160.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP050391.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRLX01000089.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP023678.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP086337.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP175623.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MIEB01000060.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRGA01000229.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JACKZL010001171.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP014442.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP148505.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP024365.2.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP122580.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP084238.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP066446.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP132640.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP087614.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_LR890302.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRPC01000142.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP072722.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OQ821117.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_NBOO01000058.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP023783.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP037739.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP149326.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MIED01000098.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP179422.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP018114.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP011570.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP039184.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP169903.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP018679.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP091910.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP166216.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP133433.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP101248.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_NHYH01000128.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP158327.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP155464.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177679.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP072286.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_NHYH01000083.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP061065.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP138542.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MZ363820.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_AP019848.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JBKYLZ010000004.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_PXUY01000030.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP092575.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP096296.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RREX01000188.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAMYCV010000064.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP039175.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OQ821130.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MTZY01000072.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_VTQC02000005.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRNH01000080.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NC_018961.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP070450.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRKR01000122.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OZ111513.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JBDYIL010000056.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RROP01000111.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NC_020817.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OP242303.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP176054.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP136249.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP066177.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP118187.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP059800.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP169945.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP166835.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP016571.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRJC01000145.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP100171.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP128653.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRKW01000078.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177495.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP107361.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_LJCC01000055.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP145018.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_PP320313.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OZ111280.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_LR890371.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRLI01000070.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP136268.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_AP027560.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP055864.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP187210.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP146151.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_PV022960.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JASISK010000008.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP101865.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP125101.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JADAJI010000075.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP170892.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP071030.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRKW01000077.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP010693.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP014443.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRJA01000142.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP054724.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177941.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_PP320268.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP014437.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP089486.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRMH01000079.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_AP018383.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JACKZL010001087.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP050910.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NC_020954.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP100096.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JARVRB010000002.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP075294.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP126779.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_PQ872770.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP169353.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP169931.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRKZ01000082.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP154416.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MIDZ01000135.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRHS01000163.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRFX01000154.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP021419.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP064348.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MK191023.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAIUDW010000044.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP167768.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP118854.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP095025.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_WMHN01000059.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP134998.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRRW01000069.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP099363.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP039944.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP023572.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP037909.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP157254.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRMA01000078.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP017441.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP074732.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRLH01000071.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NC_012631.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP042518.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP080301.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP114394.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_NHNB01000108.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAKGCB010000025.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JASISJ010000006.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP118502.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP107490.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAZICP010000017.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP146459.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NC_005231.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRKB01000188.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRMG01000208.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MBOV01000018.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRHM01000148.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_PP589715.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JRRF01000024.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RREI01000175.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP018829.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_AP022480.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP062266.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MIDX01000163.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OQ821106.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_PV575734.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP101788.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP168870.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP018106.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_NBOK01000048.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OY731352.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRKD01000146.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRSA01000239.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP107133.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP107336.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRLE01000072.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP055585.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRSG01000293.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CM017128.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177981.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRSH01000246.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_LR890485.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MG833406.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MUMQ01000094.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177477.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRTU01000269.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP069174.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JACKZQ010000609.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RREU01000236.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_LR130561.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RWJQ01000066.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRHI01000218.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP191796.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP013813.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_LR890431.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP181329.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JACGYI010000023.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MT269832.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP030723.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP070364.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRDD01000179.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP184089.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP142114.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRLH01000081.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP086486.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_KX618700.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP054222.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP180535.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NC_017102.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP126817.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RROX01000168.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MBOU01000005.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAMYCV010000056.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP009021.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_KX580713.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP107507.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAHMGU010000048.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP158200.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP014425.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_NBOL01000109.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP122347.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_NBOM01000060.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_OK642379.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP033984.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAHBNT010000004.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MN175388.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP023788.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAQISM010000037.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRLH01000080.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP120898.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_MTZY01000151.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP102321.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP182854.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP011598.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177382.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP015307.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRMW01000068.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JBAJGU010000044.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRGU01000209.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRIC01000136.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRKF01000108.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_RRDM01000147.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JASISK010000009.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP177386.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP014319.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_JAKRWQ010000002.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_AP027169.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
val,NZ_CP155459.1.cleaned.fna,"Exact duplicate (MD5, Train vs Val)"
